lucode,LULC_desc,load_n,load_p,eff_n,eff_p,crit_len_n,crit_len_p,proportion_subsurface_n,,,,,,,, 
10,NonIrrigatedArableLand,185.85,93.83,0.25,0.74,150,150,0,,0,NoData,,,,,
11,NonIrrigatedArableLandHerbaceous,185.85,93.83,0.25,0.74,150,150,0,,100,ArableLand,,,,,
12,PermanentCropland,185.85,93.83,0.25,0.74,150,150,0,,110,RiceField,,,,,
20,PermanentlyIrrigatedArableLand,185.85,93.83,0.25,0.74,150,150,0,,120,ImperviousSurface,,,,,
30,ComplexCultivationPatternedLand,124,62.6,0.25,0.87,150,150,0,,130,AgriculturalVegetation,,,,,
40,AgriculturalLandWithNaturalVegetation,41.3,20.8,0.25,0.87,150,150,0,,140,PermanentCropland,,,,,
50,EvergreenBroadleafForest,5,1.3,0.8,0.84,150,150,0,,150,InactiveAgriculturalLand,,,,,
60,DeciduousBroadleafForest,5,1.3,0.8,0.84,150,150,0,,200,Forest,,,,,
61,ClosedDeciduousBroadleafForest,5,1.3,0.8,0.84,150,150,0,,210,BroadleafForest,,,,,
62,OpenDeciduousBroadleafForest,5,1.3,0.8,0.84,150,150,0,,211,BroadleafForest,,,,,
70,EvergreenConiferousForest,5,1.3,0.8,0.84,150,150,0,,212,BroadleafForest,,,,,
71,ClosedEvergreenConiferousForest,5,1.3,0.8,0.84,150,150,0,,220,ConiferousForest,,,,,
72,OpenEvergreenConiferousForest,5,1.3,0.8,0.84,150,150,0,,221,ConiferousForest,,,,,
80,DeciduousConiferousForest,5,1.3,0.8,0.84,150,150,0,,222,ConiferousForest,,,,,
81,ClosedDeciduousConiferousForest,5,1.3,0.8,0.84,150,150,0,,230,MixedForest,,,,,
82,OpenDeciduousConiferousForest,5,1.3,0.8,0.84,150,150,0,,231,MixedForest,,,,,
90,MixedForest,5,1.3,0.8,0.84,150,150,0,,232,MixedForest,,,,,
100,ClosedSavanna,6,0.1,0.6,0.5,150,150,0,,240,ForestPlantation,,,,,
110,OpenSavanna,6,0.1,0.6,0.5,150,150,0,,241,ForestPlantation,,,,,
120,Shrubland,6,0.1,0.6,0.5,150,150,0,,242,SparseVegetation,,,,,
121,EvergreenShrubland,6,0.1,0.6,0.5,150,150,0,,250,ForestPlantation,,,,,
122,DeciduousShrubland,6,0.1,0.6,0.5,150,150,0,,251,ForestPlantation,,,,,
130,Grassland,7.5,0.4,0.4,0.5,150,150,0,,252,SparseVegetation,,,,,
140,LichenMoss,10,0.6,0.8,0.05,150,150,0,,300,Grassland,,,,,
150,SparseVegetation,6,0.6,0.3,0.05,150,150,0,,310,Pastureland,,,,,
151,SparseTreeCover,6,0.6,0.3,0.05,150,150,0,,311,Pastureland,,,,,
152,SparseShrubCover,6,0.6,0.3,0.05,150,150,0,,312,Pastureland,,,,,
153,SparseHerbaceousCover,6,0.6,0.3,0.05,150,150,0,,320,Grassland,,,,,
160,Wetland,5,1.9,0.8,0.4,150,150,0,,330,SparseHerbaceousCover,,,,,
170,Mangrove,5,1.9,0.8,0.4,150,150,0,,400,Shrubland,,,,,
180,InlandMarsh,5,1.9,0.8,0.4,150,150,0,,410,Shrubland,,,,,
190,ArtificialSurface,7,2,0.05,0.52,150,150,0,,420,OpenSavanna,,,,,
200,BareArea,0.01,0.6,0.05,0.05,150,150,0,,430,Shrubland,,,,,
201,BareRock,0.01,0.6,0.05,0.05,150,150,0,,440,PermanentCropland,,,,,
202,BeachDuneAndSand,0.01,0.6,0.05,0.05,150,150,0,,450,SparseShrubCover,,,,,
210,WaterBody,0,0.6,0.02,0.05,150,150,0,,500,Wetland,,,,,
220,GlacierAndPerpetualSnow,0,0,0.02,0,150,150,0,,510,Wetland,,,,,
,,,,,,,,,,520,IntertidalFlat,,,,,
,,,,,,,,,,530,Wetland,,,,,
,,,,,,,,,,600,WaterBody,,,,,
,,,,,,,,,,610,StillWaterBody,,,,,
,,,,,,,,,,620,StillWaterBody,,,,,
,,,,,,,,,,630,Watercourse,,,,,
,,,,,,,,,,640,MarineWaterBody,,,,,
,,,,,,,,,,800,ArtificialSurface,,,,,
,,,,,,,,,,900,BareArea,,,,,
,,,,,,,,,,910,BareArea,,,,,
,,,,,,,,,,920,BeachDuneAndSand,,,,,
,,,,,,,,,,930,BareRock,,,,,
,,,,,,,,,,931,BareRock,,,,,
,,,,,,,,,,932,BareRock,,,,,
,,,,,,,,,,1000,GlacierAndPerpetualSnow,,,,,
,,,,,,,,,,1010,GlacierAndPerpetualSnow,,,,,
,,,,,,,,,,1020,GlacierAndPerpetualSnow,,,,,
,,,,,,,,,,1200,NoData,,,,,
,,,,,,,,,,1210,NoData,,,,,
