lucode,LULC_desc,load_n,load_p,eff_n,eff_p,crit_len_n,crit_len_p,proportion_subsurface_n,,,,,,,, 
0,NoData,0,0,0,0,150,150,0,,,,,,,,
100,ArableLand,185.85,93.83,0.25,0.74,150,150,0,,,,,,,,
110,RiceField,185.85,93.83,0.25,0.74,150,150,0,,,,,,,,
120,ImperviousSurface,7,2,0.05,0.52,150,150,0,,,,,,,,
130,AgriculturalVegetation,185.85,93.83,0.25,0.74,150,150,0,,,,,,,,
140,PermanentCropland,185.85,93.83,0.25,0.74,150,150,0,,,,,,,,
150,InactiveAgriculturalLand,6,0.6,0.3,0.05,150,150,0,,,,,,,,
200,Forest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
210,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
211,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
212,BroadleafForest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
220,ConiferousForest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
221,ConiferousForest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
222,ConiferousForest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
230,MixedForest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
231,MixedForest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
232,MixedForest,5,1.3,0.8,0.84,150,150,0,,,,,,,,
240,ForestPlantation,5,1.3,0.8,0.84,150,150,0,,,,,,,,
241,ForestPlantation,5,1.3,0.8,0.84,150,150,0,,,,,,,,
242,SparseVegetation,6,0.6,0.3,0.05,150,150,0,,,,,,,,
250,ForestPlantation,5,1.3,0.8,0.84,150,150,0,,,,,,,,
251,ForestPlantation,5,1.3,0.8,0.84,150,150,0,,,,,,,,
252,SparseVegetation,6,0.6,0.3,0.05,150,150,0,,,,,,,,
300,Grassland,7.5,0.4,0.4,0.5,150,150,0,,,,,,,,
310,Pastureland,24.82,0.4,0.4,0.5,150,150,0,,,,,,,,
311,Pastureland,24.82,0.4,0.4,0.5,150,150,0,,,,,,,,
312,Pastureland,24.82,0.4,0.4,0.5,150,150,0,,,,,,,,
320,Grassland,7.5,0.4,0.4,0.5,150,150,0,,,,,,,,
330,SparseHerbaceousCover,6,0.6,0.3,0.05,150,150,0,,,,,,,,
400,Shrubland,6,0.1,0.6,0.5,150,150,0,,,,,,,,
410,Shrubland,6,0.1,0.6,0.5,150,150,0,,,,,,,,
420,OpenSavanna,6,0.1,0.6,0.5,150,150,0,,,,,,,,
430,Shrubland,6,0.1,0.6,0.5,150,150,0,,,,,,,,
440,PermanentCropland,185.85,93.83,0.25,0.74,150,150,0,,,,,,,,
450,SparseShrubCover,6,0.6,0.3,0.05,150,150,0,,,,,,,,
500,Wetland,5,1.9,0.8,0.4,150,150,0,,,,,,,,
510,Wetland,5,1.9,0.8,0.4,150,150,0,,,,,,,,
520,IntertidalFlat,5,1.9,0.8,0.4,150,150,0,,,,,,,,
530,Wetland,5,1.9,0.8,0.4,150,150,0,,,,,,,,
600,WaterBody,0,0.6,0.02,0.05,150,150,0,,,,,,,,
610,StillWaterBody,0,0.6,0.02,0.05,150,150,0,,,,,,,,
620,StillWaterBody,0,0.6,0.02,0.05,150,150,0,,,,,,,,
630,Watercourse,0,0.6,0.02,0.05,150,150,0,,,,,,,,
640,MarineWaterBody,0,0.6,0.02,0.05,150,150,0,,,,,,,,
800,ArtificialSurface,7,2,0.05,0.52,150,150,0,,,,,,,,
900,BareArea,0.01,0.6,0.05,0.05,150,150,0,,,,,,,,
910,BareArea,0.01,0.6,0.05,0.05,150,150,0,,,,,,,,
920,BeachDuneAndSand,0.01,0.6,0.05,0.05,150,150,0,,,,,,,,
930,BareRock,0.01,0.6,0.05,0.05,150,150,0,,,,,,,,
931,BareRock,0.01,0.6,0.05,0.05,150,150,0,,,,,,,,
932,BareRock,0.01,0.6,0.05,0.05,150,150,0,,,,,,,,
1000,GlacierAndPerpetualSnow,0,0,0.02,0,150,150,0,,,,,,,,
1010,GlacierAndPerpetualSnow,0,0,0.02,0,150,150,0,,,,,,,,
1020,GlacierAndPerpetualSnow,0,0,0.02,0,150,150,0,,,,,,,,
1200,NoData,0,0,0,0,150,150,0,,,,,,,,
1210,NoData,0,0,0,0,150,150,0,,,,,,,,
