LULC_desc,lucode,usle_c,usle_p
NoData,0,0.000,1
ArableLand,100,0.500,0.5
RiceField,110,0.500,0.5
ImperviousSurface,120,0.100,1
AgriculturalVegetation,130,0.500,0.5
PermanentCropland,140,0.150,1
InactiveAgriculturalLand,150,0.500,0.5
Forest,200,0.001,1
BroadleafForest,210,0.001,1
BroadleafForest,211,0.001,1
BroadleafForest,212,0.001,1
ConiferousForest,220,0.001,1
ConiferousForest,221,0.001,1
ConiferousForest,222,0.001,1
MixedForest,230,0.001,1
MixedForest,231,0.001,1
MixedForest,232,0.001,1
ForestPlantation,240,0.080,1
ForestPlantation,241,0.080,1
SparseVegetation,242,0.010,1
ForestPlantation,250,0.080,1
ForestPlantation,251,0.080,1
SparseVegetation,252,0.010,1
Grassland,300,0.080,1
Pastureland,310,0.080,1
Pastureland,311,0.080,1
Pastureland,312,0.080,1
Grassland,320,0.080,1
SparseHerbaceousCover,330,0.010,1
Shrubland,400,0.080,1
Shrubland,410,0.080,1
OpenSavanna,420,0.010,1
Shrubland,430,0.080,1
PermanentCropland,440,0.150,1
SparseShrubCover,450,0.010,1
Wetland,500,0.060,1
Wetland,510,0.060,1
IntertidalFlat,520,0.060,1
Wetland,530,0.060,1
WaterBody,600,0.000,1
StillWaterBody,610,0.000,1
StillWaterBody,620,0.000,1
Watercourse,630,0.000,1
MarineWaterBody,640,0.000,1
ArtificialSurface,800,0.100,1
BareArea,900,0.350,1
BareArea,910,0.350,1
BeachDuneAndSand,920,0.350,1
BareRock,930,0.000,1
BareRock,931,0.000,1
BareRock,932,0.000,1
GlacierAndPerpetualSnow,1000,0.000,1
GlacierAndPerpetualSnow,1010,0.000,1
GlacierAndPerpetualSnow,1020,0.000,1
NoData,1200,0.000,1
NoData,1210,0.000,1
